model,component,layer,head,type,score
GPT-2,L3H11,3,11.0,attention,-0.002021086
GPT-2,L6H1,6,1.0,attention,-0.0021094684
GPT-2,L6H3,6,3.0,attention,-0.0021376389
GPT-2,L2H9,2,9.0,attention,-0.00214109
GPT-2,L8H5,8,5.0,attention,-0.0023045896
GPT-2,L0H0,0,0.0,attention,-0.0024340698
GPT-2,L0H10,0,10.0,attention,-0.002466572
GPT-2,L2H0,2,0.0,attention,-0.0025174045
GPT-2,L4H6,4,6.0,attention,-0.0025579736
GPT-2,L7H11,7,11.0,attention,-0.002961885
GPT-2,L5H2,5,2.0,attention,-0.0034641086
GPT-2,L6H7,6,7.0,attention,-0.003514391
GPT-2,L3H6,3,6.0,attention,-0.003637236
GPT-2,L6MLP,6,,mlp,-0.0037958657
GPT-2,L11H4,11,4.0,attention,-0.0042503653
GPT-2,L5H10,5,10.0,attention,-0.0052020955
GPT-2,L7H8,7,8.0,attention,-0.005399088
GPT-2,L9H4,9,4.0,attention,-0.006235075
GPT-2,L6H4,6,4.0,attention,-0.0063661193
GPT-2,L1H7,1,7.0,attention,-0.0064923326
GPT-2,L0H6,0,6.0,attention,-0.008338562
GPT-2,L7MLP,7,,mlp,-0.0088147
GPT-2,L11H1,11,1.0,attention,-0.009988925
GPT-2,L9H11,9,11.0,attention,-0.010865295
GPT-2,L6H0,6,0.0,attention,-0.01312809
GPT-2,L8H8,8,8.0,attention,-0.01397329
GPT-2,L8H11,8,11.0,attention,-0.014193996
GPT-2,L11H0,11,0.0,attention,-0.018027801
GPT-2,L10H9,10,9.0,attention,-0.01824969
GPT-2,L8H2,8,2.0,attention,-0.019028664
GPT-2,L7H5,7,5.0,attention,-0.021066872
GPT-2,L10H2,10,2.0,attention,-0.02472179
GPT-2,L8MLP,8,,mlp,-0.024872089
GPT-2,L9H8,9,8.0,attention,-0.042561647
GPT-2,L8H6,8,6.0,attention,-0.04265898
GPT-2,L11H6,11,6.0,attention,-0.069819
GPT-2,L11H2,11,2.0,attention,-0.25927722
GPT-2,L11H10,11,10.0,attention,-0.5707743
GPT-2,L10H7,10,7.0,attention,-1.0932587
