model,layer,is_gpt2,harmful_compliance_rate,harmful_compliance_ci_lo,harmful_compliance_ci_hi,factual_accuracy_behavioral,factual_accuracy_ci_lo,factual_accuracy_ci_hi,probes_valid,input_type_probe_accuracy,input_type_probe_ci_lo,input_type_probe_ci_hi,input_type_separation_layer,rep_direction_magnitude,patching_rank_shift,patching_kl_div,factual_probe_accuracy,factual_probe_ci_lo,factual_probe_ci_hi,factual_topk_accuracy,perplexity_ratio,copy_mechanism_strength,input_type_probe_accuracy_relative,rep_direction_magnitude_relative,factual_probe_accuracy_relative,factual_topk_accuracy_relative,patching_rank_shift_relative,patching_kl_div_relative,copy_mechanism_strength_relative
base_model,0,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.7424999999999999,0.7224999999999999,0.7575000000000001,0,3.1693990821880003,1.0,0.3953755538910627,1.0,1.0,1.0,0.0,1.102119276390867,0.4724542718287557,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_model,1,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.7849999999999999,0.7575,0.8125,0,3.4728263161489163,1.0,0.3953755538910627,1.0,1.0,1.0,0.0,1.102119276390867,0.31350441357741754,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_model,2,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8024999999999999,0.7825,0.8225,0,3.394228004912609,1.0,0.3953755538910627,1.0,1.0,1.0,0.0,1.102119276390867,0.2271266951536139,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_model,3,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.7825000000000001,0.7575,0.8125,0,3.463412569207823,1.0,0.3953755538910627,1.0,1.0,1.0,0.0,1.102119276390867,0.19710794203293822,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_model,4,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8,0.7825,0.8175000000000001,0,3.628381294997132,1.0,0.3953755538910627,1.0,1.0,1.0,0.0,1.102119276390867,0.19329458304060002,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_model,5,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.7675,0.735,0.8,0,3.813320045647022,1.0,0.3953755538910627,1.0,1.0,1.0,0.005,1.102119276390867,0.16486742794824144,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_model,6,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8074999999999999,0.7825,0.8325625000000001,0,4.072055195924093,1.0,0.3953755538910627,1.0,1.0,1.0,0.01,1.102119276390867,0.1671227508224547,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_model,7,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8074999999999999,0.7725,0.8375,0,4.291934916834467,1.0,0.3953755538910627,1.0,1.0,1.0,0.02,1.102119276390867,0.15664083286498984,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_model,8,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8300000000000001,0.8125,0.8475000000000001,0,4.4017488562211575,1.0,0.3953755538910627,1.0,1.0,1.0,0.09,1.102119276390867,0.16898766522916656,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_model,9,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8275,0.8150000000000001,0.8450000000000001,0,4.667539765684878,1.0,0.3953755538910627,1.0,1.0,1.0,0.135,1.102119276390867,0.15823508506951234,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_model,10,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8150000000000001,0.795,0.845,0,4.916883401975815,1.0,0.3953755538910627,1.0,1.0,1.0,0.2,1.102119276390867,0.16101856431302924,1.0,1.0,1.0,1.0,1.0,1.0,1.0
base_model,11,True,1.0,1.0,1.0,0.045,0.02,0.075,True,0.8525,0.8325000000000001,0.8724999999999999,0,6.547628562551629,1.0,0.3953755538910627,1.0,1.0,1.0,0.155,1.102119276390867,0.21299808086206515,1.0,1.0,1.0,1.0,1.0,1.0,1.0
magnitude_attention_heads_sparsity30,0,True,1.0,1.0,1.0,0.015,0.0,0.03262499999999989,True,0.7424999999999999,0.7224999999999999,0.7575000000000001,0,3.1693990821880003,1.44,0.3839679518481717,1.0,1.0,1.0,0.0,1.0818246703727088,0.4724542718287557,0.9999999998653198,0.9999999999684482,0.9999999999,0.0,1.439999999856,0.9711474267244431,0.9999999997883393
magnitude_attention_heads_sparsity30,1,True,1.0,1.0,1.0,0.015,0.0,0.03262499999999989,True,0.7949999999999999,0.77,0.8149999999999998,0,3.5203652622471897,1.44,0.3839679518481717,1.0,1.0,1.0,0.0,1.0818246703727088,0.3488914224070807,1.0127388533741735,1.0136888348766089,0.9999999999,0.0,1.439999999856,0.9711474267244431,1.1128756316843273
magnitude_attention_heads_sparsity30,2,True,1.0,1.0,1.0,0.015,0.0,0.03262499999999989,True,0.7924999999999999,0.76,0.8275,0,3.4762087118430833,1.44,0.3839679518481717,1.0,1.0,1.0,0.0,1.0818246703727088,0.24308097415914137,0.9875389406869111,1.0241529757899013,0.9999999999,0.0,1.439999999856,0.9711474267244431,1.0702439618016395
magnitude_attention_heads_sparsity30,3,True,1.0,1.0,1.0,0.015,0.0,0.03262499999999989,True,0.7975,0.78,0.825,0,3.5659164386811115,1.44,0.3839679518481717,1.0,1.0,1.0,0.0,1.0818246703727088,0.19500214656504491,1.019169328943237,1.0295962052807859,0.9999999999,0.0,1.439999999856,0.9711474267244431,0.989316536182631
magnitude_attention_heads_sparsity30,4,True,1.0,1.0,1.0,0.015,0.0,0.03262499999999989,True,0.7849999999999999,0.765,0.8075000000000001,0,3.6638141468927645,1.44,0.3839679518481717,1.0,1.0,1.0,0.0,1.0818246703727088,0.20041103631878893,0.9812499998773436,1.0097654708570765,0.9999999999,0.0,1.439999999856,0.9711474267244431,1.0368166198067355
magnitude_attention_heads_sparsity30,5,True,1.0,1.0,1.0,0.015,0.0,0.03262499999999989,True,0.7875,0.7575,0.8225,0,3.7325512095237654,1.44,0.3839679518481717,1.0,1.0,1.0,0.0,1.0818246703727088,0.18049644284260769,1.0260586317881357,0.9788192873259254,0.9999999999,0.0,1.439999999856,0.9711474267244431,1.094797468362235
magnitude_attention_heads_sparsity30,6,True,1.0,1.0,1.0,0.015,0.0,0.03262499999999989,True,0.8150000000000001,0.7875,0.835,0,4.180998096049602,1.44,0.3839679518481717,1.0,1.0,1.0,0.01,1.0818246703727088,0.22579684289793173,1.0092879255716054,1.0267537876529473,0.9999999999,0.9999999900000002,1.439999999856,0.9711474267244431,1.351083809066199
magnitude_attention_heads_sparsity30,7,True,1.0,1.0,1.0,0.015,0.0,0.03262499999999989,True,0.8200000000000001,0.7975,0.8400000000000001,0,4.2763036649290145,1.44,0.3839679518481717,1.0,1.0,1.0,0.03,1.0818246703727088,0.20379554928280413,1.0154798760352348,0.9963579941662728,0.9999999999,1.4999999924999998,1.439999999856,0.9711474267244431,1.3010371907837954
magnitude_attention_heads_sparsity30,8,True,1.0,1.0,1.0,0.015,0.0,0.03262499999999989,True,0.8225,0.7975,0.8474999999999999,0,4.551537466349301,1.44,0.3839679518481717,1.0,1.0,1.0,0.105,1.0818246703727088,0.19567087817005813,0.9909638553022935,1.0340293403638963,0.9999999999,1.1666666653703703,1.439999999856,0.9711474267244431,1.1579003579279945
magnitude_attention_heads_sparsity30,9,True,1.0,1.0,1.0,0.015,0.0,0.03262499999999989,True,0.8274999999999999,0.805,0.85,0,4.710302320263158,1.44,0.3839679518481717,1.0,1.0,1.0,0.175,1.0818246703727088,0.21754639412586887,0.9999999998791539,1.0091616904459493,0.9999999999,1.2962962953360766,1.439999999856,0.9711474267244431,1.3748303285129095
magnitude_attention_heads_sparsity30,10,True,1.0,1.0,1.0,0.015,0.0,0.03262499999999989,True,0.82,0.79,0.85,0,4.914400698829965,1.44,0.3839679518481717,1.0,1.0,1.0,0.195,1.0818246703727088,0.27029712360973157,1.006134969201701,0.9994950656660271,0.9999999999,0.9749999995124999,1.439999999856,0.9711474267244431,1.6786705594790394
magnitude_attention_heads_sparsity30,11,True,1.0,1.0,1.0,0.015,0.0,0.03262499999999989,True,0.7825,0.745,0.8175000000000001,0,6.484774948688679,1.44,0.3839679518481717,1.0,1.0,1.0,0.11,1.0818246703727088,0.35190828070044516,0.9178885629421831,0.9904005529083502,0.9999999999,0.7096774188969823,1.439999999856,0.9711474267244431,1.6521664378897378
magnitude_attention_heads_sparsity50,0,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7424999999999999,0.7224999999999999,0.7575000000000001,0,3.1693990821880003,0.56,0.2667471443908289,1.0,1.0,1.0,0.0,1.0588438673618086,0.4724542718287557,0.9999999998653198,0.9999999999684482,0.9999999999,0.0,0.5599999999440001,0.6746677726991148,0.9999999997883393
magnitude_attention_heads_sparsity50,1,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7949999999999999,0.77,0.8149999999999998,0,3.5203652622471897,0.56,0.2667471443908289,1.0,1.0,1.0,0.0,1.0588438673618086,0.3488914224070807,1.0127388533741735,1.0136888348766089,0.9999999999,0.0,0.5599999999440001,0.6746677726991148,1.1128756316843273
magnitude_attention_heads_sparsity50,2,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7924999999999999,0.76,0.8275,0,3.4762087118430833,0.56,0.2667471443908289,1.0,1.0,1.0,0.0,1.0588438673618086,0.24308097415914137,0.9875389406869111,1.0241529757899013,0.9999999999,0.0,0.5599999999440001,0.6746677726991148,1.0702439618016395
magnitude_attention_heads_sparsity50,3,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7899999999999999,0.775,0.8125,0,3.6727056147238963,0.56,0.2667471443908289,1.0,1.0,1.0,0.0,1.0588438673618086,0.20616097132675348,1.0095846644077207,1.0604297181545141,0.9999999999,0.0,0.5599999999440001,0.6746677726991148,1.0459292968910887
magnitude_attention_heads_sparsity50,4,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.78,0.755,0.805,0,3.7570978653639404,0.56,0.2667471443908289,1.0,1.0,1.0,0.0,1.0588438673618086,0.2058023166252921,0.974999999878125,1.0354749293964052,0.9999999999,0.0,0.5599999999440001,0.6746677726991148,1.0647081427811875
magnitude_attention_heads_sparsity50,5,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7725,0.7525,0.7949999999999999,0,3.855763916166301,0.56,0.2667471443908289,1.0,1.0,1.0,0.005,1.0588438673618086,0.25633164739236236,1.006514657849314,1.0111304243835018,0.9999999999,0.9999999800000005,0.5599999999440001,0.6746677726991148,1.554774344616802
magnitude_attention_heads_sparsity50,6,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.8025,0.7875,0.8275,0,4.149593210108401,0.56,0.2667471443908289,1.0,1.0,1.0,0.02,1.0588438673618086,0.2721827975350122,0.9938080494125316,1.0190414938775918,0.9999999999,1.9999999800000003,0.5599999999440001,0.6746677726991148,1.6286400028282537
magnitude_attention_heads_sparsity50,7,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7775000000000001,0.765,0.79,0,4.192146440673405,0.56,0.2667471443908289,1.0,1.0,1.0,0.025,1.0588438673618086,0.2646367481847604,0.9628482970943844,0.976749769464739,0.9999999999,1.24999999375,0.5599999999440001,0.6746677726991148,1.6894493164748956
magnitude_attention_heads_sparsity50,8,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.8,0.775,0.825,0,4.197582580928922,0.56,0.2667471443908289,1.0,1.0,1.0,0.06,1.0588438673618086,0.2848463633997987,0.9638554215706198,0.9536170094986128,0.9999999999,0.6666666659259259,0.5599999999440001,0.6746677726991148,1.6856044661304366
magnitude_attention_heads_sparsity50,9,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7875,0.7725,0.8025,0,4.2769999700678785,0.56,0.2667471443908289,1.0,1.0,1.0,0.06,1.0588438673618086,0.3166124197126677,0.9516616313049351,0.9163285552316387,0.9999999999,0.44444444411522627,0.5599999999440001,0.6746677726991148,2.0008989749238646
magnitude_attention_heads_sparsity50,10,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7775000000000001,0.75,0.805,0,4.3900313056401785,0.56,0.2667471443908289,1.0,1.0,1.0,0.055,1.0588438673618086,0.3379541804175824,0.953987729944296,0.8928483648375292,0.9999999999,0.27499999986249996,0.5599999999440001,0.6746677726991148,2.098852276130689
magnitude_attention_heads_sparsity50,11,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7925000000000001,0.7649374999999999,0.8150000000000001,0,5.734583776981216,0.56,0.2667471443908289,1.0,1.0,1.0,0.05,1.0588438673618086,0.35190828070044516,0.9296187682193996,0.8758260677296041,0.9999999999,0.3225806449531738,0.5599999999440001,0.6746677726991148,1.6521664378897378
magnitude_attention_heads_sparsity70,0,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7375,0.71,0.7649999999999999,0,3.1795939948310683,1.02,0.2625420305551961,1.0,1.0,1.0,0.0,1.0466923411621973,0.47980639966515204,0.9932659931322202,1.0032166705038952,0.9999999999,0.0,1.019999999898,0.6640320270310155,1.0155615647338352
magnitude_attention_heads_sparsity70,1,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7575,0.74,0.7849999999999999,0,3.5131271812046174,1.02,0.2625420305551961,1.0,1.0,1.0,0.0,1.0466923411621973,0.3386250418610871,0.9649681527433162,1.0116046301443693,0.9999999999,0.0,1.019999999898,0.6640320270310155,1.0801284673762763
magnitude_attention_heads_sparsity70,2,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7775,0.75,0.8074999999999999,0,3.604302869106088,1.02,0.2625420305551961,1.0,1.0,1.0,0.0,1.0466923411621973,0.2546637119942655,0.9688473519041936,1.0618917950659885,0.9999999999,0.0,1.019999999898,0.6640320270310155,1.1212407758141476
magnitude_attention_heads_sparsity70,3,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7874999999999999,0.7525000000000001,0.835,0,3.6442698932301893,1.02,0.2625420305551961,1.0,1.0,1.0,0.0,1.0466923411621973,0.23417043166235088,1.006389776229215,1.0522193993072304,0.9999999999,0.0,1.019999999898,0.6640320270310155,1.1880314366247915
magnitude_attention_heads_sparsity70,4,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7825,0.7525000000000001,0.8225,0,3.7353427551636966,1.02,0.2625420305551961,1.0,1.0,1.0,0.0,1.0466923411621973,0.26140869343963763,0.9781249998777343,1.0294791124105662,0.9999999999,0.0,1.019999999898,0.6640320270310155,1.3523849928556573
magnitude_attention_heads_sparsity70,5,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7675,0.74,0.795,0,3.68153809613769,1.02,0.2625420305551961,1.0,1.0,1.0,0.0,1.0466923411621973,0.3011524150831004,0.9999999998697068,0.9654416760124008,0.9999999999,0.0,1.019999999898,0.6640320270310155,1.8266337908478862
magnitude_attention_heads_sparsity70,6,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7775000000000001,0.7475,0.8074999999999999,0,3.776973726744394,1.02,0.2625420305551961,1.0,1.0,1.0,0.015,1.0466923411621973,0.3342957972921431,0.9628482970943844,0.9275350025785964,0.9999999999,1.499999985,1.019999999898,0.6640320270310155,2.00030094913443
magnitude_attention_heads_sparsity70,7,True,1.0,1.0,1.0,0.0,0.0,0.0,True,0.7625,0.74,0.7825,0,3.799580876852452,1.02,0.2625420305551961,1.0,1.0,1.0,0.02,1.0466923411621973,0.3159963035552452,0.9442724457034958,0.8852838988449337,0.9999999999,0.9999999949999999,1.019999999898,0.6640320270310155,2.0173303319056806
