model,avg_cosine,avg_cka,min_cosine,layer_count
gpt2_fp16_gpu,1.0000097018021803,0.9999971191984359,0.9999553561210632,13
gpt2_int8_quantized,0.9873610276442307,0.9074308911220031,0.9750096797943115,13
