model,n_layers,d_model,overall_mean_cosine_similarity,overall_median_cosine_similarity,min_layer_cosine_similarity,max_layer_cosine_similarity,early_layers_cosine_mean,middle_layers_cosine_mean,late_layers_cosine_mean,overall_mean_cka,early_layers_cka,middle_layers_cka,late_layers_cka
gpt2_fp16_gpu,13,768,0.9999965475155757,1.0000009536743164,0.9999833703041077,1.0000152587890625,1.0000019868214924,0.9999943971633911,0.999995693564415,0.9999963821688758,0.9999998153893225,0.9999967974544016,0.999993184325252
gpt2_int8_quantized,13,768,0.9856174221405616,0.9824254512786865,0.9685936570167542,1.0,0.9975767731666565,0.980118602514267,0.9848961383104324,0.9190294661076615,0.9992279939183873,0.9780123516613665,0.7704062419190593
