layer,head,class,base_score,distil_score,degradation
0,1,previous_token,0.15184541046619415,0.08898703008890152,0.41396299159984823
2,2,previous_token,0.11027684062719345,0.16553713381290436,-0.5011051538239674
4,11,previous_token,0.10967279970645905,0.1513518989086151,-0.38003132329721523
0,10,duplicate_token,0.09836556017398834,0.14588995277881622,-0.4831405679057493
3,0,duplicate_token,0.40049102902412415,0.1667761653661728,0.5835707836638538
5,1,induction,0.12149583548307419,0.015359523706138134,0.8735798338678209
5,5,induction,0.877684473991394,0.1641363650560379,0.812989325982258
