layer,head,class,base_score,pruned_score,degradation,model
0,1,year_encoding,-0.9999314546585083,-0.5837059617042542,0.4162540137767792,magnitude_neurons_sparsity30
1,5,year_encoding,-1.199618935585022,-0.6280930638313293,0.47642284631729126,magnitude_neurons_sparsity30
9,1,year_difference,-0.009196929633617401,-0.582050621509552,-62.28749084472656,magnitude_neurons_sparsity30
10,7,comparison,-1.3246396780014038,-0.5678624510765076,0.5713079571723938,magnitude_neurons_sparsity30
11,0,output_computation,-1.1587715148925781,-0.5806811451911926,0.49888211488723755,magnitude_neurons_sparsity30
11,10,output_computation,-1.173184871673584,-0.5735578536987305,0.5111104249954224,magnitude_neurons_sparsity30
0,1,year_encoding,-0.9999314546585083,-0.7526785135269165,0.2472698837518692,random_attention_heads_sparsity30
1,5,year_encoding,-1.199618935585022,-0.9825436472892761,0.18095353245735168,random_attention_heads_sparsity30
9,1,year_difference,-0.009196929633617401,-0.038985561579465866,-3.238975763320923,random_attention_heads_sparsity30
10,7,comparison,-1.3246396780014038,-1.0539532899856567,0.2043471783399582,random_attention_heads_sparsity30
11,0,output_computation,-1.1587715148925781,-0.9414805173873901,0.1875184178352356,random_attention_heads_sparsity30
11,10,output_computation,-1.173184871673584,-0.9469406008720398,0.19284622371196747,random_attention_heads_sparsity30
0,1,year_encoding,-0.9999314546585083,-1.5254548788070679,-0.5255594253540039,random_neurons_sparsity30
1,5,year_encoding,-1.199618935585022,-1.6389838457107544,-0.36625373363494873,random_neurons_sparsity30
9,1,year_difference,-0.009196929633617401,-1.5188710689544678,-164.14981079101562,random_neurons_sparsity30
10,7,comparison,-1.3246396780014038,-1.7094628810882568,-0.2905116081237793,random_neurons_sparsity30
11,0,output_computation,-1.1587715148925781,-1.6577919721603394,-0.4306461215019226,random_neurons_sparsity30
11,10,output_computation,-1.173184871673584,-1.6681405305862427,-0.42189058661460876,random_neurons_sparsity30
0,1,year_encoding,-0.9999314546585083,-0.6217352151870728,0.37822216749191284,magnitude_attention_heads_sparsity30
1,5,year_encoding,-1.199618935585022,-0.7257908582687378,0.39498215913772583,magnitude_attention_heads_sparsity30
9,1,year_difference,-0.009196929633617401,-0.40995317697525024,-43.57500457763672,magnitude_attention_heads_sparsity30
10,7,comparison,-1.3246396780014038,-0.7145505547523499,0.4605698585510254,magnitude_attention_heads_sparsity30
11,0,output_computation,-1.1587715148925781,-0.7145505547523499,0.3833550810813904,magnitude_attention_heads_sparsity30
11,10,output_computation,-1.173184871673584,-0.7145505547523499,0.39093098044395447,magnitude_attention_heads_sparsity30
