name,n,base_mean,base_std,base_ci_lower,base_ci_upper,pruned_mean,pruned_std,pruned_ci_lower,pruned_ci_upper,degradation,effect_size_cohens_d,p_value_ttest,significant_ttest,p_value_wilcoxon,significant_wilcoxon,model
year_encoding_heads,2000,-1.0997751951217651,0.9726033806800842,-1.1408278077840805,-1.0569781422615052,-0.6058995127677917,0.6316381096839905,-0.6331285685300827,-0.5786762684583664,0.44906967878341675,-0.4651780426502228,3.934356467981569e-87,True,2.0795577007026914e-116,True,magnitude_neurons_sparsity30
year_difference_heads,1000,-0.009196929633617401,0.8168637752532959,-0.05718737784773111,0.04273547325283288,-0.582050621509552,0.6187533140182495,-0.617791387438774,-0.5446413710713387,-62.28749084472656,0.5788431167602539,1.0313746056733308e-64,True,2.066231268339368e-63,True,magnitude_neurons_sparsity30
comparison_heads,1000,-1.3246396780014038,0.9774264693260193,-1.3801014930009843,-1.2623144656419754,-0.5678624510765076,0.6066334247589111,-0.6020996734499932,-0.5294594451785087,0.5713079571723938,-0.738312840461731,1.7492581576638715e-96,True,2.5885694830505652e-92,True,magnitude_neurons_sparsity30
output_computation_heads,2000,-1.165978193283081,0.9802270531654358,-1.2077203392982483,-1.1258676439523696,-0.5771195292472839,0.614847719669342,-0.6048234075307846,-0.5512569084763527,0.5050340294837952,-0.5703362822532654,2.033330519016069e-124,True,4.03371499636305e-143,True,magnitude_neurons_sparsity30
all_heads,6000,-0.9775571823120117,1.0484354496002197,-1.0058361500501634,-0.9509635478258133,-0.5859918594360352,0.6199681758880615,-0.6024111226201058,-0.5707665920257569,0.400554895401001,-0.3484031558036804,1.8031374245278618e-151,True,3.623468837954304e-190,True,magnitude_neurons_sparsity30
all_paths,7000,-0.9715736508369446,0.9775199294090271,-0.994004738330841,-0.950419868528843,-0.5750570297241211,0.6154085397720337,-0.5898401722311973,-0.5608889326453209,0.4081179201602936,-0.3788837790489197,3.645841105297205e-206,True,1.138125283530838e-265,True,magnitude_neurons_sparsity30
CMP→OUT_paths,2000,-1.250503420829773,0.9683805108070374,-1.2905198246240617,-1.2080505818128586,-0.5702510476112366,0.6077569127082825,-0.5966940715909004,-0.5445879757404327,0.5439828038215637,-0.6690022945404053,8.879716356464744e-163,True,1.8960469834009944e-169,True,magnitude_neurons_sparsity30
YD→CMP_paths,1000,-0.5227404832839966,0.8533341884613037,-0.5741812646389007,-0.46674287840723994,-0.5822559595108032,0.6188650727272034,-0.6224015474319458,-0.5421442881226539,-0.11385281383991241,0.062406331300735474,0.0488309035282768,True,0.04898337340635473,True,magnitude_neurons_sparsity30
YD→OUT_paths,2000,-0.7509259581565857,0.9220171570777893,-0.7883010983467102,-0.7090476512908935,-0.5809862017631531,0.6189515590667725,-0.6076193183660508,-0.552378636598587,0.2263069450855255,-0.16818733513355255,8.243305495092202e-14,True,3.1313419352429105e-22,True,magnitude_neurons_sparsity30
YE→YD_paths,2000,-1.1377081871032715,0.9683122634887695,-1.1826695024967193,-1.094903838634491,-0.5703343749046326,0.6176358461380005,-0.5983794167637825,-0.544915497303009,0.498698890209198,-0.5514144897460938,2.1267242715513667e-117,True,2.1619808833473077e-137,True,magnitude_neurons_sparsity30
