name,n,base_mean,base_std,base_ci_lower,base_ci_upper,quantized_mean,quantized_std,quantized_ci_lower,quantized_ci_upper,degradation,effect_size_cohens_d,p_value_ttest,significant_ttest,p_value_wilcoxon,significant_wilcoxon,model,p_value_bonferroni,significant_bonferroni,p_value_fdr,significant_fdr
previous_token_heads,3000,0.12393176555633545,1.5586285591125488,0.07256686687469488,0.18349261172115802,0.12397651374340057,1.5578362941741943,0.0682935269549489,0.18104703426361082,-0.00036107117193751037,-0.004789229016751051,0.7931288764270754,False,0.9234561482055696,False,gpt2_fp16_gpu,1.0,False,0.9057509041682432,False
duplicate_token_heads,2000,0.24942950904369354,1.605790138244629,0.17567716352641582,0.31495913937687875,0.2494722604751587,1.605058193206787,0.1810023404657841,0.31792130023241044,-0.00017139685223810375,-0.004569055046886206,0.8381529442807782,False,0.935007250842666,False,gpt2_fp16_gpu,1.0,False,0.9057509041682432,False
induction_heads,5000,0.2968946397304535,1.539828896522522,0.253162281960249,0.33956212773919103,0.29698842763900757,1.5388703346252441,0.2555362395942211,0.3441725574433803,-0.00031589626451022923,-0.010061015374958515,0.47690049663876133,False,0.647201447740736,False,gpt2_fp16_gpu,1.0,False,0.7739872779329291,False
s_inhibition_heads,4000,0.7903800010681152,1.531522274017334,0.7414389356970787,0.8390511065721512,0.7906146049499512,1.5304886102676392,0.7420408293604851,0.8374957889318466,-0.00029682417516596615,-0.025125231593847275,0.11217094068246876,False,0.1759410635491021,False,gpt2_fp16_gpu,1.0,False,0.2588560169595433,False
name_mover_heads,5000,0.19612625241279602,1.5362884998321533,0.151694567874074,0.23740965016186236,0.19632163643836975,1.535398006439209,0.15273443572223186,0.24045202359557152,-0.0009962156182155013,-0.021028168499469757,0.13713932727946188,False,0.2099750783132862,False,gpt2_fp16_gpu,1.0,False,0.2938699870274183,False
negative_name_mover_heads,2000,-0.8228709697723389,1.9513276815414429,-0.9075146526098251,-0.7327251583337784,-0.8228257894515991,1.9506950378417969,-0.907498513162136,-0.7366755321621895,5.490571857080795e-05,-0.004827811382710934,0.8291249074658299,False,0.9691329118513025,False,gpt2_fp16_gpu,1.0,False,0.9057509041682432,False
backup_name_mover_heads,5000,0.13731366395950317,1.511139154434204,0.0940505849197507,0.1763757925480604,0.13738733530044556,1.5102659463882446,0.09707429297268391,0.17695659436285496,-0.0005365186370909214,-0.007891854271292686,0.5768812861902988,False,0.738171219338768,False,gpt2_fp16_gpu,1.0,False,0.8653219292854482,False
all_heads,26000,0.21300403773784637,1.618260145187378,0.1933121606707573,0.2330490905791521,0.21312180161476135,1.6174226999282837,0.19350213930010796,0.2329768195748329,-0.0005528715555556118,-0.012627284042537212,0.041755520065922196,True,0.1351996959547444,False,gpt2_fp16_gpu,1.0,False,0.13918506688640733,False
all_paths,12000,0.26731497049331665,1.5262984037399292,0.23787195459008217,0.29621590599417685,0.26741328835487366,1.5253530740737915,0.23922270350158215,0.29576975405216216,-0.0003677978238556534,-0.010480744764208794,0.25096660178061897,False,0.40577251432686745,False,gpt2_fp16_gpu,1.0,False,0.49890557400333874,False
DT→S-INH_paths,2000,0.22485704720020294,1.5468696355819702,0.16295335292816163,0.2910585217177868,0.22488132119178772,1.5460071563720703,0.15604076869785788,0.29512477219104766,-0.00010795299749588594,-0.0026013932656496763,0.9074195300980821,False,0.9803586145531105,False,gpt2_fp16_gpu,1.0,False,0.9074195300980821,False
IND→BNM_paths,2000,0.10793261975049973,1.531556248664856,0.040851939655840414,0.17585507705807682,0.10797227174043655,1.5306620597839355,0.04058278789743782,0.17637733183801171,-0.00036737724440172315,-0.00424222182482481,0.849586591425316,False,0.9485184308590531,False,gpt2_fp16_gpu,1.0,False,0.9057509041682432,False
