model,quantization,perplexity,loss,ppl_increase,ppl_increase_pct
gpt2-base,none,11.538401371361743,2.4456807221391412,0.0,0.0
gpt2_fp16_gpu,fp16,11.539737247477044,2.445796491971263,0.001335876115300394,0.01157765337073498
gpt2_fp32_baseline,unknown,11.538404925182942,2.445681030138537,3.5538211982100165e-06,3.079994432357487e-05
gpt2_int8_quantized,int8,12.708051592218307,2.542235776221055,1.169650220856564,10.137021440072541
