source_layer,source_head,target_layer,target_head,path_type,path_name,base_score,pruned_score,degradation,base_std,pruned_std,n_samples,model
0,1,9,1,YE→YD,L0H1→L9H1,-1.080631136894226,-0.6318620443344116,0.41528424620628357,0.9481299519538879,0.3301694095134735,1000,random_neurons_sparsity50
1,5,9,1,YE→YD,L1H5→L9H1,-1.1947851181030273,-0.6339061260223389,0.46943920850753784,0.9847798347473145,0.3298134505748749,1000,random_neurons_sparsity50
9,1,10,7,YD→CMP,L9H1→L10H7,-0.5227404832839966,-0.620871365070343,-0.18772390484809875,0.8533341884613037,0.32945016026496887,1000,random_neurons_sparsity50
10,7,11,0,CMP→OUT,L10H7→L11H0,-1.250503420829773,-0.6377303600311279,0.49002110958099365,0.9683805108070374,0.3309903144836426,1000,random_neurons_sparsity50
10,7,11,10,CMP→OUT,L10H7→L11H10,-1.250503420829773,-0.6377303600311279,0.49002110958099365,0.9683805108070374,0.3309903144836426,1000,random_neurons_sparsity50
9,1,11,0,YD→OUT,L9H1→L11H0,-0.7509259581565857,-0.6205291748046875,0.17364798486232758,0.9220171570777893,0.328721821308136,1000,random_neurons_sparsity50
9,1,11,10,YD→OUT,L9H1→L11H10,-0.7509259581565857,-0.6205291748046875,0.17364798486232758,0.9220171570777893,0.328721821308136,1000,random_neurons_sparsity50
0,1,9,1,YE→YD,L0H1→L9H1,-1.080631136894226,-0.42134565114974976,0.6100929975509644,0.9481299519538879,0.7025130987167358,1000,magnitude_neurons_sparsity50
1,5,9,1,YE→YD,L1H5→L9H1,-1.1947851181030273,-0.4376649558544159,0.6336872577667236,0.9847798347473145,0.7052947878837585,1000,magnitude_neurons_sparsity50
9,1,10,7,YD→CMP,L9H1→L10H7,-0.5227404832839966,-0.42153337597846985,0.19360870122909546,0.8533341884613037,0.7070351839065552,1000,magnitude_neurons_sparsity50
10,7,11,0,CMP→OUT,L10H7→L11H0,-1.250503420829773,-0.4336707890033722,0.6532030701637268,0.9683805108070374,0.7023177742958069,1000,magnitude_neurons_sparsity50
10,7,11,10,CMP→OUT,L10H7→L11H10,-1.250503420829773,-0.4336707890033722,0.6532030701637268,0.9683805108070374,0.7023177742958069,1000,magnitude_neurons_sparsity50
9,1,11,0,YD→OUT,L9H1→L11H0,-0.7509259581565857,-0.42147454619407654,0.43872690200805664,0.9220171570777893,0.7071077227592468,1000,magnitude_neurons_sparsity50
9,1,11,10,YD→OUT,L9H1→L11H10,-0.7509259581565857,-0.42147454619407654,0.43872690200805664,0.9220171570777893,0.7071077227592468,1000,magnitude_neurons_sparsity50
0,1,9,1,YE→YD,L0H1→L9H1,-1.080631136894226,-0.6875535845756531,0.36374813318252563,0.9481299519538879,0.8344190716743469,1000,magnitude_attention_heads_sparsity50
1,5,9,1,YE→YD,L1H5→L9H1,-1.1947851181030273,-0.6911242604255676,0.42154932022094727,0.9847798347473145,0.8343818783760071,1000,magnitude_attention_heads_sparsity50
9,1,10,7,YD→CMP,L9H1→L10H7,-0.5227404832839966,-0.6866059303283691,-0.31347379088401794,0.8533341884613037,0.834180474281311,1000,magnitude_attention_heads_sparsity50
10,7,11,0,CMP→OUT,L10H7→L11H0,-1.250503420829773,-0.6866059303283691,0.45093637704849243,0.9683805108070374,0.834180474281311,1000,magnitude_attention_heads_sparsity50
10,7,11,10,CMP→OUT,L10H7→L11H10,-1.250503420829773,-0.6866059303283691,0.45093637704849243,0.9683805108070374,0.834180474281311,1000,magnitude_attention_heads_sparsity50
9,1,11,0,YD→OUT,L9H1→L11H0,-0.7509259581565857,-0.6866059303283691,0.08565428853034973,0.9220171570777893,0.834180474281311,1000,magnitude_attention_heads_sparsity50
9,1,11,10,YD→OUT,L9H1→L11H10,-0.7509259581565857,-0.6866059303283691,0.08565428853034973,0.9220171570777893,0.834180474281311,1000,magnitude_attention_heads_sparsity50
0,1,9,1,YE→YD,L0H1→L9H1,-1.080631136894226,-0.2701082229614258,0.7500458359718323,0.9481299519538879,0.656878650188446,1000,random_attention_heads_sparsity50
1,5,9,1,YE→YD,L1H5→L9H1,-1.1947851181030273,-0.269109845161438,0.7747629880905151,0.9847798347473145,0.6596397757530212,1000,random_attention_heads_sparsity50
9,1,10,7,YD→CMP,L9H1→L10H7,-0.5227404832839966,-0.15479664504528046,0.7038747668266296,0.8533341884613037,0.6388605833053589,1000,random_attention_heads_sparsity50
10,7,11,0,CMP→OUT,L10H7→L11H0,-1.250503420829773,-0.2739262282848358,0.780947208404541,0.9683805108070374,0.6567327976226807,1000,random_attention_heads_sparsity50
10,7,11,10,CMP→OUT,L10H7→L11H10,-1.250503420829773,-0.2739262282848358,0.780947208404541,0.9683805108070374,0.6567327976226807,1000,random_attention_heads_sparsity50
9,1,11,0,YD→OUT,L9H1→L11H0,-0.7509259581565857,-0.1577821671962738,0.7898832559585571,0.9220171570777893,0.6409085988998413,1000,random_attention_heads_sparsity50
9,1,11,10,YD→OUT,L9H1→L11H10,-0.7509259581565857,-0.1577821671962738,0.7898832559585571,0.9220171570777893,0.6409085988998413,1000,random_attention_heads_sparsity50
