source_layer,source_head,target_layer,target_head,path_type,path_name,base_score,pruned_score,degradation,base_std,pruned_std,n_samples,model
0,1,9,1,YE→YD,L0H1→L9H1,-1.080631136894226,-0.12614677846431732,0.8832656145095825,0.9481299519538879,0.41351160407066345,1000,random_neurons_sparsity70
1,5,9,1,YE→YD,L1H5→L9H1,-1.1947851181030273,-0.1313958764076233,0.8900255560874939,0.9847798347473145,0.41353023052215576,1000,random_neurons_sparsity70
9,1,10,7,YD→CMP,L9H1→L10H7,-0.5227404832839966,-0.12231596559286118,0.7660101652145386,0.8533341884613037,0.4142262935638428,1000,random_neurons_sparsity70
10,7,11,0,CMP→OUT,L10H7→L11H0,-1.250503420829773,-0.13142135739326477,0.8949052691459656,0.9683805108070374,0.4131072461605072,1000,random_neurons_sparsity70
10,7,11,10,CMP→OUT,L10H7→L11H10,-1.250503420829773,-0.13142135739326477,0.8949052691459656,0.9683805108070374,0.4131072461605072,1000,random_neurons_sparsity70
9,1,11,0,YD→OUT,L9H1→L11H0,-0.7509259581565857,-0.12365967035293579,0.8353237509727478,0.9220171570777893,0.41412562131881714,1000,random_neurons_sparsity70
9,1,11,10,YD→OUT,L9H1→L11H10,-0.7509259581565857,-0.12365967035293579,0.8353237509727478,0.9220171570777893,0.41412562131881714,1000,random_neurons_sparsity70
0,1,9,1,YE→YD,L0H1→L9H1,-1.080631136894226,0.12740491330623627,1.1178985834121704,0.9481299519538879,0.48503127694129944,1000,random_attention_heads_sparsity70
1,5,9,1,YE→YD,L1H5→L9H1,-1.1947851181030273,0.12740491330623627,1.1066341400146484,0.9847798347473145,0.48503127694129944,1000,random_attention_heads_sparsity70
9,1,10,7,YD→CMP,L9H1→L10H7,-0.5227404832839966,0.12740491330623627,1.243725061416626,0.8533341884613037,0.48503127694129944,1000,random_attention_heads_sparsity70
10,7,11,0,CMP→OUT,L10H7→L11H0,-1.250503420829773,0.1235223338007927,1.0987780094146729,0.9683805108070374,0.48648011684417725,1000,random_attention_heads_sparsity70
10,7,11,10,CMP→OUT,L10H7→L11H10,-1.250503420829773,0.1235223338007927,1.0987780094146729,0.9683805108070374,0.48648011684417725,1000,random_attention_heads_sparsity70
9,1,11,0,YD→OUT,L9H1→L11H0,-0.7509259581565857,0.12740491330623627,1.1696637868881226,0.9220171570777893,0.48503127694129944,1000,random_attention_heads_sparsity70
9,1,11,10,YD→OUT,L9H1→L11H10,-0.7509259581565857,0.12740491330623627,1.1696637868881226,0.9220171570777893,0.48503127694129944,1000,random_attention_heads_sparsity70
0,1,9,1,YE→YD,L0H1→L9H1,-1.080631136894226,-0.9945204854011536,0.0796855166554451,0.9481299519538879,0.6029686331748962,1000,magnitude_attention_heads_sparsity70
1,5,9,1,YE→YD,L1H5→L9H1,-1.1947851181030273,-0.9952213168144226,0.16702903807163239,0.9847798347473145,0.6033541560173035,1000,magnitude_attention_heads_sparsity70
9,1,10,7,YD→CMP,L9H1→L10H7,-0.5227404832839966,-0.9940599799156189,-0.9016318917274475,0.8533341884613037,0.602994978427887,1000,magnitude_attention_heads_sparsity70
10,7,11,0,CMP→OUT,L10H7→L11H0,-1.250503420829773,-0.9940599799156189,0.20507216453552246,0.9683805108070374,0.602994978427887,1000,magnitude_attention_heads_sparsity70
10,7,11,10,CMP→OUT,L10H7→L11H10,-1.250503420829773,-0.9940599799156189,0.20507216453552246,0.9683805108070374,0.602994978427887,1000,magnitude_attention_heads_sparsity70
9,1,11,0,YD→OUT,L9H1→L11H0,-0.7509259581565857,-0.9940599799156189,-0.3237789571285248,0.9220171570777893,0.602994978427887,1000,magnitude_attention_heads_sparsity70
9,1,11,10,YD→OUT,L9H1→L11H10,-0.7509259581565857,-0.9940599799156189,-0.3237789571285248,0.9220171570777893,0.602994978427887,1000,magnitude_attention_heads_sparsity70
0,1,9,1,YE→YD,L0H1→L9H1,-1.080631136894226,-0.5086218118667603,0.5293289422988892,0.9481299519538879,0.8259587287902832,1000,magnitude_neurons_sparsity70
1,5,9,1,YE→YD,L1H5→L9H1,-1.1947851181030273,-0.5173112750053406,0.5670256614685059,0.9847798347473145,0.828579843044281,1000,magnitude_neurons_sparsity70
9,1,10,7,YD→CMP,L9H1→L10H7,-0.5227404832839966,-0.4982895851135254,0.046774450689554214,0.8533341884613037,0.8352441787719727,1000,magnitude_neurons_sparsity70
10,7,11,0,CMP→OUT,L10H7→L11H0,-1.250503420829773,-0.5106841921806335,0.5916171073913574,0.9683805108070374,0.827720582485199,1000,magnitude_neurons_sparsity70
10,7,11,10,CMP→OUT,L10H7→L11H10,-1.250503420829773,-0.5106841921806335,0.5916171073913574,0.9683805108070374,0.827720582485199,1000,magnitude_neurons_sparsity70
9,1,11,0,YD→OUT,L9H1→L11H0,-0.7509259581565857,-0.49861109256744385,0.33600497245788574,0.9220171570777893,0.8358843326568604,1000,magnitude_neurons_sparsity70
9,1,11,10,YD→OUT,L9H1→L11H10,-0.7509259581565857,-0.49861109256744385,0.33600497245788574,0.9220171570777893,0.8358843326568604,1000,magnitude_neurons_sparsity70
