name,n,base_mean,base_std,base_ci_lower,base_ci_upper,pruned_mean,pruned_std,pruned_ci_lower,pruned_ci_upper,degradation,effect_size_cohens_d,p_value_ttest,significant_ttest,p_value_wilcoxon,significant_wilcoxon,model
year_encoding_heads,2000,-1.0997751951217651,0.9726033806800842,-1.1408278077840805,-1.0569781422615052,-0.13064254820346832,0.41113999485969543,-0.1489139348268509,-0.11289664693176746,0.8812097907066345,-0.9792577028274536,3.388350206452914e-294,True,4.988684890186464e-215,True,random_neurons_sparsity70
year_difference_heads,1000,-0.009196929633617401,0.8168637752532959,-0.05718737784773111,0.04273547325283288,-0.12226301431655884,0.41431957483291626,-0.146476224437356,-0.09546910766512155,-12.29389476776123,0.12741205096244812,6.074349953607505e-05,True,5.950742238352197e-06,True,random_neurons_sparsity70
comparison_heads,1000,-1.3246396780014038,0.9774264693260193,-1.3801014930009843,-1.2623144656419754,-0.1314438283443451,0.41307929158210754,-0.15606438592076302,-0.10520825572311879,0.9007701277732849,-1.2090970277786255,1.1857407272114811e-197,True,3.3609996330713354e-123,True,random_neurons_sparsity70
output_computation_heads,2000,-1.165978193283081,0.9802270531654358,-1.2077203392982483,-1.1258676439523696,-0.13140012323856354,0.4131229519844055,-0.14908777326345443,-0.11153913401067257,0.8873048424720764,-1.0406702756881714,7.32e-321,True,4.411974699688602e-221,True,random_neurons_sparsity70
all_heads,6000,-0.9775571823120117,1.0484354496002197,-1.0058361500501634,-0.9509635478258133,-0.12963204085826874,0.41266903281211853,-0.14066185653209687,-0.11959002241492271,0.86739182472229,-0.7942335605621338,0.0,True,0.0,True,random_neurons_sparsity70
all_paths,7000,-0.9715736508369446,0.9775199294090271,-0.994004738330841,-0.950419868528843,-0.12714581191539764,0.4136943221092224,-0.13645495399832724,-0.11780508421361446,0.8691341280937195,-0.8453302383422852,0.0,True,0.0,True,random_neurons_sparsity70
CMP→OUT_paths,2000,-1.250503420829773,0.9683805108070374,-1.2905198246240617,-1.2080505818128586,-0.13142135739326477,0.4131072461605072,-0.14914347007870674,-0.11448109541088343,0.8949052691459656,-1.143026351928711,0.0,True,5.714352620613889e-237,True,random_neurons_sparsity70
YD→CMP_paths,1000,-0.5227404832839966,0.8533341884613037,-0.5741812646389007,-0.46674287840723994,-0.12231596559286118,0.4142262935638428,-0.14745860695838928,-0.09763731341809034,0.7660101652145386,-0.4487289786338806,9.80484359869844e-42,True,3.891193594725888e-55,True,random_neurons_sparsity70
YD→OUT_paths,2000,-0.7509259581565857,0.9220171570777893,-0.7883010983467102,-0.7090476512908935,-0.12365967035293579,0.41412562131881714,-0.1404903955757618,-0.10419105254113675,0.8353237509727478,-0.6540466547012329,8.504445471800017e-157,True,1.4615304796433285e-152,True,random_neurons_sparsity70
YE→YD_paths,2000,-1.1377081871032715,0.9683122634887695,-1.1826695024967193,-1.094903838634491,-0.1287713348865509,0.41352924704551697,-0.14708244502544404,-0.11069082785397769,0.8868151903152466,-1.0255677700042725,2.628385999e-314,True,8.656521168763033e-220,True,random_neurons_sparsity70
year_encoding_heads,2000,-1.0997751951217651,0.9726033806800842,-1.1419019162654878,-1.0571992129087449,0.12740491330623627,0.48503127694129944,0.1063484175130725,0.14790021777153015,1.1158463954925537,-1.3729379177093506,0.0,True,3.5429777637671106e-269,True,random_attention_heads_sparsity70
year_difference_heads,1000,-0.009196929633617401,0.8168637752532959,-0.05847742119804024,0.040244060847908256,0.12740491330623627,0.48503127694129944,0.099160161241889,0.15726444348692892,14.852982521057129,-0.18640397489070892,5.221070329344801e-09,True,1.6939416123737275e-10,True,random_attention_heads_sparsity70
comparison_heads,1000,-1.3246396780014038,0.9774264693260193,-1.3842294305562972,-1.2702731966972352,0.12336162477731705,0.4863658547401428,0.09555822182446719,0.15450536534190176,1.0931284427642822,-1.5896379947662354,1.1178737326189393e-275,True,1.5307614011742507e-144,True,random_attention_heads_sparsity70
output_computation_heads,2000,-1.165978193283081,0.9802270531654358,-1.2112844854593277,-1.1242946535348892,0.12862204015254974,0.48476532101631165,0.10735472664237022,0.14929423332214356,1.110312581062317,-1.4323278665542603,0.0,True,4.055864237374484e-276,True,random_attention_heads_sparsity70
all_heads,6000,-0.9775571823120117,1.0484354496002197,-1.0030341625213623,-0.9495845675468445,0.1271367371082306,0.48516860604286194,0.11479602195322514,0.139505847170949,1.130055546760559,-1.1278926134109497,0.0,True,0.0,True,random_attention_heads_sparsity70
all_paths,7000,-0.9715736508369446,0.9775199294090271,-0.9924011811614036,-0.9502184063196182,0.12629559636116028,0.48544883728027344,0.11471953559666873,0.13730078749358654,1.129990816116333,-1.2087750434875488,0.0,True,0.0,True,random_attention_heads_sparsity70
CMP→OUT_paths,2000,-1.250503420829773,0.9683805108070374,-1.2922267764806747,-1.2052245438098907,0.1235223338007927,0.48648011684417725,0.10172876920551062,0.14461886435747145,1.0987780094146729,-1.533822774887085,0.0,True,4.15868211611228e-283,True,random_attention_heads_sparsity70
YD→CMP_paths,1000,-0.5227404832839966,0.8533341884613037,-0.5775616645812989,-0.47025482952594755,0.12740491330623627,0.48503127694129944,0.09636599738150835,0.15759641714394093,1.243725061416626,-0.8392637372016907,8.471534497314383e-118,True,9.828582081999611e-98,True,random_attention_heads_sparsity70
YD→OUT_paths,2000,-0.7509259581565857,0.9220171570777893,-0.789850476384163,-0.7083895891904831,0.12740491330623627,0.48503127694129944,0.10499958619475365,0.14806291908025743,1.1696637868881226,-1.0208792686462402,2.85294329411e-312,True,3.884690574011485e-220,True,random_attention_heads_sparsity70
YE→YD_paths,2000,-1.1377081871032715,0.9683122634887695,-1.1779360860586165,-1.092235028743744,0.12740491330623627,0.48503127694129944,0.10590267106890679,0.15009086392819881,1.1119838953018188,-1.421762228012085,0.0,True,1.7587257839307534e-275,True,random_attention_heads_sparsity70
year_encoding_heads,2000,-1.0997751951217651,0.9726033806800842,-1.145057386159897,-1.0564102709293366,-0.9683548808097839,0.6020523905754089,-0.9932454854249955,-0.9409269228577614,0.11949743330478668,-0.20679113268852234,5.80447981037345e-20,True,4.6618905440237365e-27,True,magnitude_attention_heads_sparsity70
year_difference_heads,1000,-0.009196929633617401,0.8168637752532959,-0.0625244090333581,0.04642826523631811,-0.9940599799156189,0.602994978427887,-1.032168135046959,-0.9570481926202774,-107.08606719970703,1.8207287788391113,1.92112e-319,True,1.349469487817532e-155,True,magnitude_attention_heads_sparsity70
comparison_heads,1000,-1.3246396780014038,0.9774264693260193,-1.3836931854486465,-1.2657472014427185,-0.9940599799156189,0.602994978427887,-1.0319588094949723,-0.9547477394342423,0.24956198036670685,-0.5259876847267151,5.5905255093101915e-55,True,6.775085997902673e-59,True,magnitude_attention_heads_sparsity70
output_computation_heads,2000,-1.165978193283081,0.9802270531654358,-1.2084118336439134,-1.1205814272165298,-0.9940599799156189,0.602994978427887,-1.02067930996418,-0.9664138928055763,0.14744548499584198,-0.2632352411746979,5.761277688113056e-31,True,4.854324477953728e-38,True,magnitude_attention_heads_sparsity70
all_heads,6000,-0.9775571823120117,1.0484354496002197,-1.002595427632332,-0.951733972132206,-0.9854916334152222,0.6028027534484863,-1.0006365567445754,-0.9702847748994827,-0.00811661034822464,0.010357585735619068,0.42245270226173515,False,0.012987293349659592,True,magnitude_attention_heads_sparsity70
all_paths,7000,-0.9715736508369446,0.9775199294090271,-0.9935231864452362,-0.949524961411953,-0.9942917227745056,0.603042721748352,-1.008338612318039,-0.9807090997695923,-0.02338275872170925,0.03409929946064949,0.004347005040637676,True,0.046661347411501,True,magnitude_attention_heads_sparsity70
CMP→OUT_paths,2000,-1.250503420829773,0.9683805108070374,-1.2908320754766465,-1.2067246377468108,-0.9940599799156189,0.602994978427887,-1.0202375799417496,-0.9683352097868919,0.20507216453552246,-0.40719103813171387,1.205779543743555e-68,True,5.264190553278819e-79,True,magnitude_attention_heads_sparsity70
YD→CMP_paths,1000,-0.5227404832839966,0.8533341884613037,-0.5766669332981109,-0.46907339841127393,-0.9940599799156189,0.602994978427887,-1.0312569558620452,-0.9577754974365235,-0.9016318917274475,0.9160524606704712,2.485432953279576e-134,True,9.055990960418828e-113,True,magnitude_attention_heads_sparsity70
YD→OUT_paths,2000,-0.7509259581565857,0.9220171570777893,-0.7916204124689102,-0.7122924268245697,-0.9940599799156189,0.602994978427887,-1.0210947573184967,-0.9678463011980057,-0.3237789571285248,0.40588751435279846,3.000942111498626e-68,True,3.930367971836873e-65,True,magnitude_attention_heads_sparsity70
YE→YD_paths,2000,-1.1377081871032715,0.9683122634887695,-1.1808416813611984,-1.0941275984048844,-0.9948709011077881,0.6031615138053894,-1.023339655995369,-0.9673693716526032,0.12554825842380524,-0.22275592386722565,7.730903212413975e-23,True,2.0835984863961636e-28,True,magnitude_attention_heads_sparsity70
year_encoding_heads,2000,-1.0997751951217651,0.9726033806800842,-1.142197385430336,-1.0582766830921173,-0.5111449360847473,0.844587504863739,-0.5470566272735595,-0.4731294512748718,0.5352277755737305,-0.5139268040657043,7.128469202955808e-104,True,1.0871400188410383e-123,True,magnitude_neurons_sparsity70
year_difference_heads,1000,-0.009196929633617401,0.8168637752532959,-0.06026029866188763,0.04206077568233011,-0.4981403052806854,0.8354418873786926,-0.547795957326889,-0.44393252581357956,-53.163761138916016,0.4293751120567322,1.2530195424909042e-38,True,6.48394004436885e-45,True,magnitude_neurons_sparsity70
comparison_heads,1000,-1.3246396780014038,0.9774264693260193,-1.3864083111286163,-1.2655990928411485,-0.5103981494903564,0.8273006081581116,-0.5615572661161422,-0.4572160616517067,0.61468905210495,-0.7217401266098022,4.7136219666310316e-93,True,9.521036579567761e-89,True,magnitude_neurons_sparsity70
output_computation_heads,2000,-1.165978193283081,0.9802270531654358,-1.2097891330718995,-1.119015634059906,-0.5173887014389038,0.8234219551086426,-0.5500578626990318,-0.4813630536198616,0.5562621355056763,-0.5724104046821594,3.3993092016515336e-125,True,2.8814680140589723e-143,True,magnitude_neurons_sparsity70
all_heads,6000,-0.9775571823120117,1.0484354496002197,-1.006123822927475,-0.9524383053183556,-0.5109342932701111,0.8332006931304932,-0.5315094500780105,-0.4893444314599037,0.4773356318473816,-0.3833273649215698,7.351834648876759e-181,True,6.407813361227434e-203,True,magnitude_neurons_sparsity70
all_paths,7000,-0.9715736508369446,0.9775199294090271,-0.9927581906318664,-0.9490064039826394,-0.5061162114143372,0.8310389518737793,-0.5259883165359497,-0.48757210224866865,0.4790758192539215,-0.4040929973125458,3.378702148822716e-232,True,2.6221789737650965e-272,True,magnitude_neurons_sparsity70
CMP→OUT_paths,2000,-1.250503420829773,0.9683805108070374,-1.2919163316488267,-1.2106452643871308,-0.5106841921806335,0.827720582485199,-0.5467463329434394,-0.47287528589367867,0.5916171073913574,-0.6596436500549316,4.982058798589762e-159,True,3.0751739905825872e-164,True,magnitude_neurons_sparsity70
YD→CMP_paths,1000,-0.5227404832839966,0.8533341884613037,-0.5777728304266929,-0.46680386662483214,-0.4982895851135254,0.8352441787719727,-0.5493374213576316,-0.4436668992042542,0.046774450689554214,-0.02270563691854477,0.47313705144573615,False,0.6486901622864103,False,magnitude_neurons_sparsity70
YD→OUT_paths,2000,-0.7509259581565857,0.9220171570777893,-0.7923716723918914,-0.7098156660795212,-0.49861109256744385,0.8358843326568604,-0.5387927487492561,-0.46092770248651505,0.33600497245788574,-0.22205547988414764,1.0432271358015492e-22,True,1.6949627680336677e-25,True,magnitude_neurons_sparsity70
YE→YD_paths,2000,-1.1377081871032715,0.9683122634887695,-1.1813970535993576,-1.095437815785408,-0.5129665732383728,0.8272817134857178,-0.5500781327486038,-0.478325704485178,0.5491228699684143,-0.554017961025238,2.3399943863573546e-118,True,1.5341265910540122e-137,True,magnitude_neurons_sparsity70
