layer,head,class,base_score,pruned_score,degradation,model
0,1,year_encoding,-0.9999314546585083,-0.129245787858963,0.8707453608512878,random_neurons_sparsity70
1,5,year_encoding,-1.199618935585022,-0.13203932344913483,0.8899322748184204,random_neurons_sparsity70
9,1,year_difference,-0.009196929633617401,-0.12226301431655884,-12.29389476776123,random_neurons_sparsity70
10,7,comparison,-1.3246396780014038,-0.1314438283443451,0.9007701277732849,random_neurons_sparsity70
11,0,output_computation,-1.1587715148925781,-0.13140422105789185,0.8866004347801208,random_neurons_sparsity70
11,10,output_computation,-1.173184871673584,-0.13139602541923523,0.8880005478858948,random_neurons_sparsity70
0,1,year_encoding,-0.9999314546585083,0.12740491330623627,1.1274136304855347,random_attention_heads_sparsity70
1,5,year_encoding,-1.199618935585022,0.12740491330623627,1.1062045097351074,random_attention_heads_sparsity70
9,1,year_difference,-0.009196929633617401,0.12740491330623627,14.852982521057129,random_attention_heads_sparsity70
10,7,comparison,-1.3246396780014038,0.12336162477731705,1.0931284427642822,random_attention_heads_sparsity70
11,0,output_computation,-1.1587715148925781,0.12983918190002441,1.1120489835739136,random_attention_heads_sparsity70
11,10,output_computation,-1.173184871673584,0.12740491330623627,1.1085975170135498,random_attention_heads_sparsity70
0,1,year_encoding,-0.9999314546585083,-0.9303818941116333,0.06955432891845703,magnitude_attention_heads_sparsity70
1,5,year_encoding,-1.199618935585022,-1.0063278675079346,0.16112706065177917,magnitude_attention_heads_sparsity70
9,1,year_difference,-0.009196929633617401,-0.9940599799156189,-107.08606719970703,magnitude_attention_heads_sparsity70
10,7,comparison,-1.3246396780014038,-0.9940599799156189,0.24956198036670685,magnitude_attention_heads_sparsity70
11,0,output_computation,-1.1587715148925781,-0.9940599799156189,0.14214323461055756,magnitude_attention_heads_sparsity70
11,10,output_computation,-1.173184871673584,-0.9940599799156189,0.1526825726032257,magnitude_attention_heads_sparsity70
0,1,year_encoding,-0.9999314546585083,-0.5118772983551025,0.48808762431144714,magnitude_neurons_sparsity70
1,5,year_encoding,-1.199618935585022,-0.5104126334190369,0.574521005153656,magnitude_neurons_sparsity70
9,1,year_difference,-0.009196929633617401,-0.4981403052806854,-53.163761138916016,magnitude_neurons_sparsity70
10,7,comparison,-1.3246396780014038,-0.5103981494903564,0.61468905210495,magnitude_neurons_sparsity70
11,0,output_computation,-1.1587715148925781,-0.5174133777618408,0.5534811019897461,magnitude_neurons_sparsity70
11,10,output_computation,-1.173184871673584,-0.5173639059066772,0.5590090751647949,magnitude_neurons_sparsity70
