method,previous_token_score,previous_token_retention,duplicate_token_score,duplicate_token_retention,induction_score,induction_retention,s_inhibition_score,s_inhibition_retention,name_mover_score,name_mover_retention,negative_name_mover_score,negative_name_mover_retention,backup_name_mover_score,backup_name_mover_retention
gpt2_fp16_gpu,0.0048274428662844005,-10.750131597600323,-0.0029037808994326043,7.865362548920134,-0.0029589455174864267,3.499483484489271,0.3759837005881127,97.87116792485904,2.9568201535493133,82.6865431933124,-1.6649210041165352,79.49570093755202,0.40620818940992465,95.23211045729045
gpt2_fp32_baseline,0.004827424009738024,-10.750089606351407,-0.0029052940105757444,7.869461056393591,-0.00295977236086037,3.5004613749959645,0.3759038415527902,97.85038006345937,2.9561687119789424,82.6683258352219,-1.6647488445453344,79.48748076028723,0.405988172653364,95.18052937003154
gpt2_int8_quantized,0.0054665605609770865,-12.173369430674772,-0.0028591838306747377,7.744564139347195,-0.0024832891739788466,2.936934593825228,0.3229669808135368,84.07054764327133,2.584605653461069,72.27768207209085,-1.3506301500685511,64.48912003729835,0.33338710421347056,78.15981647148378
