model,base_mean_logit_diff,base_std_logit_diff,base_median_logit_diff,base_accuracy,base_gt_prob_mass,base_gt_prob_mass_std,quantized_mean_logit_diff,quantized_std_logit_diff,quantized_median_logit_diff,quantized_accuracy,quantized_gt_prob_mass,quantized_gt_prob_mass_std,degradation_logit_diff,degradation_accuracy
gpt2_int8_quantized,2.933574676513672,1.9492515325546265,2.9834442138671875,0.9419999718666077,0.8534927368164062,0.21257872879505157,3.0481908321380615,1.7531423568725586,3.313568115234375,0.9309999942779541,0.8459999561309814,0.21283020079135895,-0.03907047485172668,0.011677258935429376
gpt2_fp16_gpu,2.933574676513672,1.9492515325546265,2.9834442138671875,0.9419999718666077,0.8534927368164062,0.21257872879505157,2.93451189994812,1.946989893913269,2.9795684814453125,0.9449999928474426,0.8534374833106995,0.21281170845031738,-0.00031948170331292205,-0.003184735743558791
gpt2_fp32_baseline,2.933574676513672,1.9492515325546265,2.9834442138671875,0.9419999718666077,0.8534927368164062,0.21257872879505157,2.9335739612579346,1.94925057888031,2.983428955078125,0.9419999718666077,0.853492796421051,0.21257872879505157,2.4381712285392167e-07,0.0
