name,n,base_mean,base_std,base_ci_lower,base_ci_upper,quantized_mean,quantized_std,quantized_ci_lower,quantized_ci_upper,degradation,effect_size_cohens_d,p_value_ttest,significant_ttest,p_value_wilcoxon,significant_wilcoxon,model
year_encoding_heads,2000,-0.9130614995956421,1.0037142038345337,-0.95466428399086,-0.8676476866006851,-0.2695547342300415,0.7791289687156677,-0.3013553775846958,-0.2329813539981842,0.7047792077064514,-1.3694911003112793,0.0,True,2.5192428949156372e-272,True,gpt2_int8_quantized
year_difference_heads,1000,0.23723040521144867,0.7988601326942444,0.19104607440531254,0.28648685589432715,0.548883318901062,0.6921213269233704,0.503831946849823,0.5941185191273689,-1.3137140274047852,-0.7737466096878052,6.842370057569675e-104,True,9.431157117989469e-93,True,gpt2_int8_quantized
comparison_heads,1000,-1.1332186460494995,0.9831615090370178,-1.1919750213623046,-1.0730119735002517,-0.5356365442276001,0.7810831069946289,-0.5846485242247581,-0.4842049337923527,0.5273317098617554,-1.2756532430648804,9.15086808409201e-212,True,2.1359893296915335e-137,True,gpt2_int8_quantized
output_computation_heads,2000,-0.9866994619369507,0.9893508553504944,-1.0300837516784669,-0.9451424583792687,-0.3615848422050476,0.7742185592651367,-0.3924695156514645,-0.32782135605812074,0.6335410475730896,-1.3538236618041992,0.0,True,4.7804288232348225e-275,True,gpt2_int8_quantized
all_heads,6000,-0.7825850248336792,1.0690836906433105,-0.8104832679033279,-0.7554324701428413,-0.2081720530986786,0.8403380513191223,-0.2287277951836586,-0.18657916858792306,0.7339943051338196,-1.218233346939087,0.0,True,0.0,True,gpt2_int8_quantized
all_paths,7000,-0.7851131558418274,0.978829026222229,-0.8069862648844719,-0.7634720295667649,-0.2168336659669876,0.7689573764801025,-0.2346750669181347,-0.19935151524841785,0.7238186001777649,-1.2524867057800293,0.0,True,0.0,True,gpt2_int8_quantized
CMP→OUT_paths,2000,-1.0642162561416626,0.9761231541633606,-1.103738021850586,-1.0222060263156891,-0.45956817269325256,0.7704072594642639,-0.4942251294851303,-0.42724972814321516,0.5681627988815308,-1.291819453239441,0.0,True,7.263214388197442e-272,True,gpt2_int8_quantized
YD→CMP_paths,1000,-0.32076194882392883,0.8319088816642761,-0.37148760333657266,-0.267814289778471,0.16243235766887665,0.6591693758964539,0.12171734441071749,0.20506108477711676,1.5063953399658203,-1.140379786491394,6.288722074846818e-183,True,1.351220369670794e-124,True,gpt2_int8_quantized
YD→OUT_paths,2000,-0.5662136673927307,0.9155482053756714,-0.6031191632151603,-0.5241005554795265,-0.038196105509996414,0.6999985575675964,-0.07100666947662829,-0.007933172048069538,0.9325411915779114,-1.1988428831100464,0.0,True,4.22489452704424e-256,True,gpt2_int8_quantized
YE→YD_paths,2000,-0.9570849537849426,0.9762634038925171,-1.001114884018898,-0.9155877247452736,-0.3423697352409363,0.7682737112045288,-0.3760367207229137,-0.3115194603800774,0.6422786116600037,-1.344731092453003,0.0,True,1.4049156007199002e-274,True,gpt2_int8_quantized
year_encoding_heads,2000,-0.9130614995956421,1.0037142038345337,-0.9567394062876702,-0.8710085734724998,-0.9111318588256836,1.0050829648971558,-0.9580740198493004,-0.8708142459392547,0.0021133744157850742,-0.2810196280479431,6.650570646450756e-35,True,7.579332825188024e-44,True,gpt2_fp16_gpu
