name,n,base_mean,base_std,base_ci_lower,base_ci_upper,quantized_mean,quantized_std,quantized_ci_lower,quantized_ci_upper,degradation,effect_size_cohens_d,p_value_ttest,significant_ttest,p_value_wilcoxon,significant_wilcoxon,model,p_value_bonferroni,significant_bonferroni,p_value_fdr,significant_fdr
previous_token_heads,3000,0.13684028387069702,1.5262991189956665,0.07892095781862736,0.1923888999968767,0.13422167301177979,1.5281715393066406,0.07859013676643371,0.18881658092141151,0.019136257469654083,0.003777226200327277,0.8361389218850972,False,0.8585473939975293,False,gpt2_int8_quantized,1.0,False,0.9991724468808918,False
duplicate_token_heads,2000,0.26421985030174255,1.5668398141860962,0.19751208126544953,0.3307969696819782,0.22686254978179932,1.5392380952835083,0.15627977438271046,0.2895726226270199,0.1413871794939041,0.05231396108865738,0.019435216785498352,True,0.038246928635502456,True,gpt2_int8_quantized,0.8745847553474259,False,0.17491695106948518,False
induction_heads,5000,0.30947232246398926,1.5159215927124023,0.2698039785027504,0.35297616198658943,0.29993295669555664,1.517645001411438,0.25782416462898256,0.3453753098845482,0.03082461655139923,0.013402225449681282,0.3433862316042495,False,0.5736187861851632,False,gpt2_int8_quantized,1.0,False,0.8407169669417438,False
s_inhibition_heads,4000,0.8099409341812134,1.5035566091537476,0.7605779021978378,0.859401772916317,0.7582048177719116,1.5036898851394653,0.7135721296072006,0.8019495457410812,0.06387640535831451,0.07123953104019165,6.826140749737685e-06,True,3.6829282818152827e-06,True,gpt2_int8_quantized,0.0003071763337381958,True,0.0001535881668690979,True
name_mover_heads,5000,0.2121022492647171,1.5108412504196167,0.17167133688926697,0.25280781537294383,0.20584411919116974,1.5112391710281372,0.1627406317740679,0.24611237458884716,0.029505250975489616,0.009086317382752895,0.520619972390189,False,0.909446088200368,False,gpt2_int8_quantized,1.0,False,0.9991724468808918,False
negative_name_mover_heads,2000,-0.8095555305480957,1.9271100759506226,-0.8912843316793442,-0.7272815331816673,-0.5876566171646118,1.9468525648117065,-0.6737617135047913,-0.49849144592881206,0.2740996778011322,-0.2604409158229828,2.2867907571731557e-30,True,6.562357014614673e-28,True,gpt2_int8_quantized,1.02905584072792e-28,True,1.02905584072792e-28,True
backup_name_mover_heads,5000,0.15123829245567322,1.4849170446395874,0.11158894374966623,0.19161105155944824,0.1472068578004837,1.4925482273101807,0.10589263457804919,0.18745108060538768,0.026656176894903183,0.0058821747079491615,0.6775076447273319,False,0.9277653661737352,False,gpt2_int8_quantized,1.0,False,0.9991724468808918,False
all_heads,26000,0.22783376276493073,1.5920028686523438,0.2090637244284153,0.24605829380452632,0.22995445132255554,1.5809624195098877,0.21106643415987492,0.2483886007219553,-0.009308052249252796,-0.0029551745392382145,0.6337233340062547,False,0.49785652187168905,False,gpt2_int8_quantized,1.0,False,0.9991724468808918,False
all_paths,12000,0.2784106433391571,1.5027883052825928,0.24930996857583523,0.3058734431862831,0.2732400596141815,1.5106215476989746,0.24651110768318177,0.30112715512514115,0.01857178844511509,0.007391437888145447,0.4181529613985092,False,0.8827567478549441,False,gpt2_int8_quantized,1.0,False,0.8960420601396626,False
DT→S-INH_paths,2000,0.23682565987110138,1.5170176029205322,0.16811762005090714,0.3023305080831051,0.2194220870733261,1.5172932147979736,0.15258343443274505,0.28082085475325586,0.07348685711622238,0.025160355493426323,0.2607563071055168,False,0.4149415846935739,False,gpt2_int8_quantized,1.0,False,0.7891679499151887,False
