model,variant,n_layers,perplexity,loss,ppl_increase,ppl_increase_pct
gpt2-base,base,12,11.538401371361743,2.4456807221391412,0.0,0.0
distilgpt2,distilled,6,17.5488674155098,2.8649894131006333,6.010466044148057,52.09097734341262
