model,component,layer,head,type,score
GPT-2,L0H2,0,2.0,attention,1.4528068e-06
GPT-2,L0H5,0,5.0,attention,1.4391486e-06
GPT-2,L3H9,3,9.0,attention,1.3752428e-06
GPT-2,L9H6,9,6.0,attention,1.3301496e-06
GPT-2,L1H5,1,5.0,attention,1.213077e-06
GPT-2,L8H4,8,4.0,attention,1.202673e-06
GPT-2,L8H0,8,0.0,attention,1.1669476e-06
GPT-2,L7H7,7,7.0,attention,1.033066e-06
GPT-2,L1H11,1,11.0,attention,1.0208721e-06
GPT-2,L1H7,1,7.0,attention,9.90171e-07
GPT-2,L5H2,5,2.0,attention,9.592086e-07
GPT-2,L9H2,9,2.0,attention,8.623684e-07
GPT-2,L4H11,4,11.0,attention,8.4182835e-07
GPT-2,L6H0,6,0.0,attention,7.833636e-07
GPT-2,L2H2,2,2.0,attention,7.1294954e-07
GPT-2,L9H3,9,3.0,attention,6.3177873e-07
GPT-2,L5H4,5,4.0,attention,6.274374e-07
GPT-2,L10H7,10,7.0,attention,6.0458177e-07
GPT-2,L5H9,5,9.0,attention,5.437599e-07
GPT-2,L6H3,6,3.0,attention,5.055292e-07
GPT-2,L6H11,6,11.0,attention,4.5900862e-07
GPT-2,L2H1,2,1.0,attention,4.0898303e-07
GPT-2,L1H2,1,2.0,attention,3.8419466e-07
GPT-2,L5H6,5,6.0,attention,3.1591878e-07
GPT-2,L3H10,3,10.0,attention,2.6649974e-07
GPT-2,L8H8,8,8.0,attention,2.447172e-07
GPT-2,L4H6,4,6.0,attention,1.7780086e-07
GPT-2,L4H4,4,4.0,attention,1.6375903e-07
GPT-2,L6H5,6,5.0,attention,1.5939567e-07
GPT-2,L6H7,6,7.0,attention,1.4880388e-07
GPT-2,L10H8,10,8.0,attention,1.350739e-07
GPT-2,L3H8,3,8.0,attention,1.206226e-07
GPT-2,L0H9,0,9.0,attention,1.12822775e-07
GPT-2,L3H0,3,0.0,attention,8.21992e-08
GPT-2,L6H4,6,4.0,attention,5.5407057e-08
GPT-2,L8H2,8,2.0,attention,4.9001553e-08
GPT-2,L3H11,3,11.0,attention,3.739371e-08
GPT-2,L11H10,11,10.0,attention,3.5262083e-08
GPT-2,L5H3,5,3.0,attention,3.2674514e-08
GPT-2,L2H5,2,5.0,attention,3.1653588e-08
GPT-2,L7H9,7,9.0,attention,3.0728746e-08
GPT-2,L7H8,7,8.0,attention,2.47869e-08
GPT-2,L9H5,9,5.0,attention,2.1350225e-08
GPT-2,L11H3,11,3.0,attention,1.6764622e-08
GPT-2,L4H3,4,3.0,attention,8.7458725e-09
GPT-2,L8H9,8,9.0,attention,6.5642616e-09
GPT-2,L8H10,8,10.0,attention,3.4223204e-09
GPT-2,L8H5,8,5.0,attention,3.19627e-09
GPT-2,L7H6,7,6.0,attention,2.4465134e-09
GPT-2,L6H6,6,6.0,attention,2.4365858e-09
GPT-2,L4H2,4,2.0,attention,6.7328343e-10
GPT-2,L2H6,2,6.0,attention,5.4171173e-10
GPT-2,L7H3,7,3.0,attention,2.7190375e-10
GPT-2,L2H0,2,0.0,attention,1.8129734e-10
GPT-2,L0H8,0,8.0,attention,1.8427049e-13
