name,n,base_mean,base_std,base_ci_lower,base_ci_upper,pruned_mean,pruned_std,pruned_ci_lower,pruned_ci_upper,degradation,effect_size_cohens_d,p_value_ttest,significant_ttest,p_value_wilcoxon,significant_wilcoxon,model,p_value_bonferroni,significant_bonferroni,p_value_fdr,significant_fdr
previous_token_heads,3000,0.12393180280923843,1.5586285591125488,0.07256693281233317,0.18349278680980205,0.045327238738536835,1.155157208442688,0.0025362174375914075,0.08455425668507814,0.6342566013336182,0.04203153774142265,0.021415890111182546,True,0.030139543698970206,True,random_attention_heads_sparsity70,1.0,False,0.02676986263897818,True
duplicate_token_heads,2000,0.24942956864833832,1.6057902574539185,0.17567712888121606,0.3149590827524662,0.045327235013246536,1.155157208442688,-0.004580738046206531,0.09081822521984577,0.8182764053344727,0.10684379935264587,1.9086754649677457e-06,True,8.850135239183542e-06,True,random_attention_heads_sparsity70,0.00011452052789806475,True,3.4703190272140826e-06,True
induction_heads,5000,0.2968946397304535,1.539828896522522,0.2531622782349587,0.33956236243247984,0.042283087968826294,1.1535735130310059,0.009757613507099451,0.0741876795887947,0.857582151889801,0.13629348576068878,8.668268106673083e-22,True,2.3922862039394617e-20,True,random_attention_heads_sparsity70,5.2009608640038503e-20,True,3.467307242669233e-21,True
s_inhibition_heads,4000,0.7903801202774048,1.5315221548080444,0.7414389461278915,0.8390510469675064,0.0699954479932785,1.1595584154129028,0.03609798476099969,0.10741323828697204,0.9114407300949097,0.38633647561073303,5.497956058223765e-123,True,1.2087095614255584e-111,True,random_attention_heads_sparsity70,3.298773634934259e-121,True,3.298773634934259e-121,True
name_mover_heads,5000,0.19612623751163483,1.5362884998321533,0.15169463828206065,0.23740964718163013,0.017756810411810875,1.1511311531066895,-0.013659825571812686,0.04628600422292948,0.9094623923301697,0.09669552743434906,9.073606916529189e-12,True,1.1292216729372459e-12,True,random_attention_heads_sparsity70,5.444164149917513e-10,True,2.0939092884298125e-11,True
negative_name_mover_heads,2000,-0.8228709101676941,1.951327919960022,-0.9075149983167649,-0.7327248707413674,0.06107030436396599,1.1560968160629272,0.010453299456276,0.10989345721900463,1.0742161273956299,-0.4044957458972931,7.926323046507302e-68,True,4.449849686984348e-58,True,random_attention_heads_sparsity70,4.755793827904381e-66,True,1.1889484569760953e-66,True
backup_name_mover_heads,5000,0.13731375336647034,1.511139154434204,0.09405068326741459,0.17637599334120752,0.03631686419248581,1.1524184942245483,0.004380222945474092,0.06871240697801113,0.7355191111564636,0.05514233186841011,9.795264467007485e-05,True,0.00016277532099974804,True,random_attention_heads_sparsity70,0.005877158680204491,True,0.00015466207053169715,True
all_heads,26000,0.21300409734249115,1.6182602643966675,0.1933121606707573,0.2330491367727518,0.04271317273378372,1.1544209718704224,0.029352614562958484,0.056433541141450404,0.7994725108146667,0.08861939609050751,3.8237588373994585e-46,True,6.276852828903837e-50,True,random_attention_heads_sparsity70,2.294255302439675e-44,True,2.867819128049594e-45,True
all_paths,12000,0.26731497049331665,1.5262984037399292,0.23787198550999164,0.296215908229351,0.052786264568567276,1.156022071838379,0.03142622862942517,0.07351488452404736,0.8025315999984741,0.11553201824426651,1.7863434550650773e-36,True,1.5160060857227808e-33,True,random_attention_heads_sparsity70,1.0718060730390463e-34,True,8.931717275325385e-36,True
DT→S-INH_paths,2000,0.22485706210136414,1.5468697547912598,0.1629536259919405,0.2910585798323154,0.045327235013246536,1.155157208442688,-0.0037558178708422887,0.09624348692595959,0.7984175682067871,0.0964215099811554,1.7040108224275397e-05,True,4.5184395190170396e-05,True,random_attention_heads_sparsity70,0.0010224064934565237,True,2.8400180373792328e-05,True
IND→BNM_paths,2000,0.10793275386095047,1.5315563678741455,0.04085214491933586,0.1758551139384508,0.045327235013246536,1.155157208442688,-0.00596681151073426,0.09710012283176184,0.5800418853759766,0.03386512026190758,0.13015463334484828,False,0.14610368801716433,False,random_attention_heads_sparsity70,1.0,False,0.1473448679375641,False
IND→NM_paths,2000,0.11626216024160385,1.5344535112380981,0.05263224048539996,0.18142100758850574,0.045327235013246536,1.155157208442688,-0.003845586493844153,0.09495442081242796,0.6101290583610535,0.03826924040913582,0.0872317220605004,False,0.0964042688824706,False,random_attention_heads_sparsity70,1.0,False,0.10467806647260047,False
PT→IND_paths,2000,0.11462796479463577,1.5181773900985718,0.04764022966846824,0.1755065556615591,0.045327235013246536,1.155157208442688,-0.0034808563883416328,0.09354181494563818,0.6045708656311035,0.03777926787734032,0.09135282815800778,False,0.11392363134955337,False,random_attention_heads_sparsity70,1.0,False,0.10747391548000916,False
S-INH→NM_paths,2000,0.659927248954773,1.474485158920288,0.5925066456198692,0.7223872810602188,0.07029077410697937,1.158109188079834,0.01957716918550433,0.12382594086229798,0.8934870362281799,0.31829479336738586,7.555016854605548e-44,True,1.857884238964751e-40,True,random_attention_heads_sparsity70,4.533010112763329e-42,True,5.0366779030703656e-43,True
S-INH→NNM_paths,2000,0.38028284907341003,1.4714932441711426,0.31580403745174407,0.44636357128620147,0.06511788815259933,1.157096028327942,0.015215925429947676,0.11862537544220685,0.8287645578384399,0.17207954823970795,2.2286936191989687e-14,True,4.0014130909643415e-13,True,random_attention_heads_sparsity70,1.3372161715193811e-12,True,6.221030737987214e-14,True
previous_token_heads,3000,0.12393180280923843,1.5586285591125488,0.06607616394758224,0.17531304396688935,-0.03741375729441643,3.715023994445801,-0.1689576108008623,0.09071660954505203,1.3018898963928223,0.041458044201135635,0.023255660092554944,True,0.014559454375597044,True,magnitude_neurons_sparsity70,1.0,False,0.028476318480679524,True
duplicate_token_heads,2000,0.24942956864833832,1.6057902574539185,0.17472692541778087,0.3193141549825668,-0.014623443596065044,3.7269134521484375,-0.1773451272398233,0.14598331674933424,1.0586276054382324,0.06743300706148148,0.0026026330048652376,True,0.0020271272001586515,True,magnitude_neurons_sparsity70,0.15615798029191424,False,0.0036315809370212615,True
induction_heads,5000,0.2968946397304535,1.539828896522522,0.2573026157915592,0.3389196954667568,-0.010973222553730011,3.722588062286377,-0.11896672770380973,0.09588629361242056,1.0369600057601929,0.07880730926990509,2.6508365859076914e-08,True,1.0946447676056344e-08,True,magnitude_neurons_sparsity70,1.590501951544615e-06,True,5.301673171815383e-08,True
